Idreg,REG,pays,pop1959,pop1970,pop1979,pop1989,pop2002,pop2010,Urb1959,Urb1970,Urb1979,Urb1989,Urb2002,Urb2010,1959,1970,1979,1989,2002,2010,TURB0,TURB11,TURB20,TURB30,TURB43,TURB51
RUS73,Touva,Russie,172,231,266,309,306,308,34.5,51.7,83.247,117.197,138.541,149.352,20.1,22.4,31.2,38,45.3,48.5,-50.8930354312,-39.8930354312,-30.8930354312,-20.8930354312,-7.8930354312,0.1069645688
RUS74,Tver,Russie,1807,1717,1649,1663,1471,1353,625.4,807.733,913.464,987.448,901.105,864.634,34.6,47,55.4,59.4,61.2,63.9,-18.8456861898,-7.8456861898,1.1543138102,11.1543138102,24.1543138102,32.1543138102
RUS75,Vladimir,Russie,1402,1511,1580,1649,1524,1444,647.301,900.086,1053.627,1175.397,1072.354,1054.746,46.2,59.6,66.7,71.3,70.4,73.1,2.8035125341,13.8035125341,22.8035125341,32.8035125341,45.8035125341,53.8035125341
RUS76,Volgograd,Russie,1854,2323,2475,2593,2699,2610,976.942,1425.955,1658.063,1827.283,1918.593,1900.158,52.7,61.4,67,70.5,71.1,72.8,13.9693767803,24.9693767803,33.9693767803,43.9693767803,56.9693767803,64.9693767803
RUS77,Vologda,Russie,1308,1296,1310,1349,1270,1202,344.8,500.8,660.563,759.781,766.425,764.484,26.4,38.6,50.4,56.3,60.4,63.6,-26.5952458616,-15.5952458616,-6.5952458616,3.4047541384,16.4047541384,24.4047541384
RUS78,Voronej,Russie,2369,2527,2479,2467,2379,2335,749.936,1052.896,1228.129,1386.146,1370.231,1389.625,31.7,41.7,49.6,56.2,57.6,59.5,-26.8340812424,-15.8340812424,-6.8340812424,3.1659187576,16.1659187576,24.1659187576
RUS79,Yaroslavl,Russie,1396,1400,1425,1469,1367,1272,725.4,887.1,1005.4,1082.5,1030.515,975.13,52,63.4,70.6,73.7,75.4,76.6,10.9196155484,21.9196155484,30.9196155484,40.9196155484,53.9196155484,61.9196155484
RUS80,Zabaikalskii,Russie,1036,1145,1233,1375,1155,1107,362.653,453.217,573.335,653.804,570.033,617.294,35,39.6,46.5,47.5,49.3,55.8,-37.8136419292,-26.8136419292,-17.8136419292,-7.8136419292,5.1863580708,13.1863580708
TAD00,Tadjikistan,Tadjikistan,1980,2900,3806,5093,6376,7530,346.882,549.702,1146.965,1485.044,1693.408,1841,17.5,19,30.1,29.2,26.6,24.5,-176.9421167606,-165.9421167606,-156.9421167606,-146.9421167606,-133.9421167606,-125.9421167606
TUR00,Turkménistan,Turkménistan,1516,2159,2765,3523,4474,4913,236.047,349.501,924.717,1355.286,2258.547,3102.3,15.6,16.2,33.4,38.5,50.5,63.1,-40.3554326262,-29.3554326262,-20.3554326262,-10.3554326262,2.6445673738,10.6445673738
UKR012,Crimee-Sebastopol,Ukraine,1202,2068,2516,2459,2413,2344,683,995,1276,1509,1434,1398,56.9,48.1,50.7,61.4,59.4,59.6,11.840746805,22.840746805,31.840746805,41.840746805,54.840746805,62.840746805
UKR03,Vinnytsia,Ukraine,2142,2132,2046,1933,1172,1641,254.65,409.747,582.236,692.357,662.719,667.962,11.9,19.2,28.5,35.8,56.5,40.7,-49.1949798037,-38.1949798037,-29.1949798037,-19.1949798037,-6.1949798037,1.8050201963
UKR04,Volyn,Ukraine,890,974,1016,1061,1061,1037,126.794,212.47,296.977,399.45,427.514,431.015,14.2,21.8,29.2,37.6,40.3,41.6,-58.8078732537,-47.8078732537,-38.8078732537,-28.8078732537,-15.8078732537,-7.8078732537
UKR05,Dnipropetrovsk,Ukraine,2705,3343,3639,3881,3568,3337,1691.16,2359.597,2743.039,3046.668,2774.298,2632.794,62.5,70.6,75.4,78.5,77.8,78.9,39.8429259397,50.8429259397,59.8429259397,69.8429259397,82.8429259397,90.8429259397
UKR06,Donetsk,Ukraine,4262,4892,5161,5332,4841,4433,3194.522,3805.368,4154.632,4389.758,3953.717,3691.023,75,77.8,80.5,82.3,81.7,83.3,119.0475870579,130.0475870579,139.0475870579,149.0475870579,162.0475870579,170.0475870579
UKR07,Jitomir,Ukraine,1604,1627,1597,1545,1390,1279,286.091,412.214,550.501,640.297,612.981,589.725,17.8,25.3,34.5,41.4,44.1,46.1,-52.1349925601,-41.1349925601,-32.1349925601,-22.1349925601,-9.1349925601,-1.1349925601
UKR08,Zakarpattia,Ukraine,920,1057,1154,1252,1258,1247,167.21,220.1,271.861,322.537,313.126,310.514,18.2,20.8,23.5,25.8,24.9,24.9,-193.941773587,-182.941773587,-173.941773587,-163.941773587,-150.941773587,-142.941773587
